rank	name	position	college
1	AJ Dybantsa	SF	BYU
2	Darryn Peterson	CG	Kansas
3	Cameron Boozer	PF	Duke
4	Nate Ament	PF	Tennessee
5	Caleb Wilson	PF	North Carolina
6	Chris Cenac Jr.	C	Houston
7	Alijah Arenas	SG	USC
8	Mikel Brown Jr.	PG	Louisville
9	Koa Peat	PF	Arizona
10	Brayden Burries	CG	Arizona
11	Darius Acuff Jr.	PG	Arkansas
12	Meleek Thomas	SG	Arkansas
13	Isiah Harwell	SG	Houston
14	Tounde Yessoufou	SF	Baylor
15	Braylon Mullins	SG	UConn
16	Kingston Flemings	PG	Houston
17	Jalen Haralson	SF	Notre Dame
18	Trey McKenney	CG	Michigan
19	Nikolas Khamenia	SF	Duke
20	Cayden Boozer	PG	Duke
21	Jasper Johnson	SG	Kentucky
22	Shon Abaev	SF	Cincinnati
23	Shelton Henderson	SF	Miami
24	Dwayne Aristode	SF	Arizona
25	Malachi Moreno	C	Kentucky
26	Matt Able	SG	NC State
27	Darius Adams	CG	Maryland
28	Eric Reibe	C	UConn
29	CJ Ingram	SF	Florida
30	Sadiq White Jr.	PF	Syracuse
31	Niko Bundalo	PF	Ole Miss
32	Dame Sarr	SG	Duke
33	Acaden Lewis	PG	Villanova
34	Kiyan Anthony	SG	Syracuse
35	Sebastian Wilkins	PF	Duke
36	Xavion Staton	C	BYU
37	Kayden Mingo	CG	Penn State
38	London Jemison	PF	Alabama
39	Davis Fogle	SF	Gonzaga
40	Jamier Jones	PF	Providence
41	Jaden Toombs	C	SMU
42	Alex Lloyd	SG	SMU
43	Jerry Easter II	CG	USC
44	Derek Dixon	CG	North Carolina
45	Jacob Wilkins	SF	Georgia
46	Davion Hannah	SG	Alabama
47	Hudson Greer	SF	Creighton
48	Sebastian Williams-Adams	PF	Auburn
49	Billy White III	SF	SMU
50	Neoklis Avdalas	SG	Virginia Tech
