rank	name	position	college
1	Cooper Flagg	PF	Duke
2	Ace Bailey	SF	Rutgers
3	Dylan Harper	CG	Rutgers
4	VJ Edgecombe	SG	Baylor
5	Tre Johnson	SG	Texas
6	Khaman Maluach	C	Duke
7	Jalil Bethea	SG	Miami
8	Ian Jackson	SG	North Carolina
9	Jayden Quaintance	C	Arizona State
10	Derrion Reid	PF	Alabama
11	Drake Powell	SF	North Carolina
12	Derik Queen	C	Maryland
13	Donnie Freeman	PF	Syracuse
14	Will Riley	SF	Illinois
15	Isaiah Evans	SF	Duke
16	Asa Newell	PF	Georgia
17	Flory Bidunga	C	Kansas
18	Liam McNeeley	SF	UConn
19	Kon Knueppel	SF	Duke
20	Boogie Fland	CG	Arkansas
21	Bryson Tucker	SF	Indiana
22	Karter Knox	SF	Arkansas
23	Aiden Sherrell	C	Alabama
24	Carter Bryant	PF	Arizona
25	Joson Sanon	SG	Arizona State
26	Patrick Ngongba II	C	Duke
27	Billy Richmond	SF	Arkansas
28	Rob Wright III	PG	Baylor
29	Tahaad Pettiford	PG	Auburn
30	Morez Johnson Jr.	C	Illinois
31	Trent Perry	PG	UCLA
32	Jase Richardson	CG	Michigan State
33	Annor Boateng	SF	Missouri
34	Khani Rooths	PF	Louisville
35	Labaron Philon	PG	Alabama
36	Cam Scott	SG	South Carolina
37	Ahmad Nowell	CG	UConn
38	Jackson McAndrew	PF	Creighton
39	Darren Harris	SF	Duke
40	Rakease Passmore	SF	Kansas
41	Kanon Catchings	PF	BYU
42	Zoom Diallo	PG	Washington
43	Thomas Sorber	C	Georgetown
44	Somto Cyril	C	Georgia
45	Jeremiah Fears	CG	Oklahoma
46	Naas Cunningham	SF	Alabama
47	Tyler Betsey	PF	Cincinnati
48	Jamari Phillips	SG	Oregon
49	John Mobley Jr.	CG	Ohio State
50	Austin Swartz	SG	Miami
