rank	name	position	college
1	Isaiah Collier	PG	USC
2	Ron Holland	PF	Pro
3	Justin Edwards	SF	Kentucky
4	Aaron Bradshaw	C	Kentucky
5	Matas Buzelis	SF	Pro
6	DJ Wagner	CG	Kentucky
7	Cody Williams	SF	Colorado
8	Mackenzie Mgbako	PF	Indiana
9	Ja'Kobe Walter	SG	Baylor
10	Stephon Castle	CG	UConn
11	Elliot Cadeau	PG	North Carolina
12	Omaha Biliew	PF	Iowa State
13	Jared McCain	CG	Duke
14	Xavier Booker	C	Michigan State
15	Aday Mara	C	UCLA
16	Kwame Evans Jr.	PF	Oregon
17	Rob Dillingham	PG	Kentucky
18	Sean Stewart	PF	Duke
19	Aden Holloway	PG	Auburn
20	Caleb Foster	CG	Duke
21	TJ Power	PF	Duke
22	Elmarko Jackson	PG	Kansas
23	Bronny James	CG	USC
24	Trentyn Flowers	SF	Louisville
25	Jackson Shelstad	PG	Oregon
26	Andrej Stojakovic	SF	Stanford
27	AJ Johnson	CG	Pro
28	Dennis Evans	C	Louisville
29	Baye Fall	C	Arkansas
30	Dink Pate	SG	Westchester Knicks
31	Mookie Cook	SF	Oregon
32	Jeremy Fears	PG	Michigan State
33	DeShawn Harris-Smith	SF	Maryland
34	Coen Carr	PF	Michigan State
35	Simeon Wilcher	CG	St. John's
36	Layden Blocker	PG	Arkansas
37	Brandon Garrison	C	Oklahoma State
38	Yves Missi	C	Baylor
39	Berke Buyuktuncel	PF	UCLA
40	Garwey Dual	SG	Providence
41	Taison Chatman	CG	Ohio State
42	Milan Momcilovic	PF	Iowa State
43	Dedan Thomas Jr.	PG	UNLV
44	Miro Little	PG	Baylor
45	Reed Sheppard	CG	Kentucky
46	Gavin Griffiths	SF	Rutgers
47	Solomon Ball	SG	UConn
48	Wesley Yates III	SG	Washington
49	Dusty Stromer	SF	Gonzaga
50	Arrinten Page	C	USC
