PLAYER	POS	Lane Agility Time (seconds)	Shuttle Run (seconds)	Three Quarter Sprint (seconds)	Standing Vertical Leap (inches)	Max Vertical Leap (inches)	Max Bench Press (repetitions)
Izan Almansa	C	11.46	2.93	3.33	28.0	34.0	-
Neoklis Avdalas	SF	10.98	2.98	3.24	27.0	33.5	-
Ace Bailey	SF-PF	10.97	2.78	3.12	27.5	34.5	-
Tamar Bates	SG	10.75	2.99	3.26	27.5	33.5	-
Joan Beringer	C	11.44	2.97	3.45	28.5	32.5	-
Koby Brea	SG	11.40	3.23	3.31	27.5	34.0	-
Johni Broome	SF-PF	11.52	3.23	3.37	24.5	28.0	-
Carter Bryant	SF-PF	11.25	3.14	3.07	30.5	39.5	-
Miles Byrd	SG	10.91	2.90	3.22	31.5	35.5	-
Walter Clayton Jr.	PG-SG	10.52	2.81	3.14	29.5	37.0	-
Nique Clifford	PG-SG	10.87	2.96	3.07	31.0	35.5	-
Alex Condon	SF-PF	11.57	2.76	3.27	30.0	34.5	-
Cedric Coward	PG-SG	10.97	3.02	3.06	32.5	38.5	-
Egor Demin	PG-SG	11.31	2.93	3.33	26.5	32.0	-
Eric Dixon	PF	11.56	3.09	3.41	28.0	32.5	-
VJ Edgecombe	PG-SG	11.27	2.93	3.20	30.0	38.5	-
Noa Essengue	PF	10.70	-	3.10	-	-	-
Jeremiah Fears	PG-SG	10.95	3.09	3.05	32.5	36.5	-
Cooper Flagg	SF-PF	10.64	2.92	3.30	29.0	35.5	-
Boogie Fland	PG	-	-	-	-	-	-
Rasheer Fleming	SF-PF	10.95	2.72	3.24	27.0	32.5	-
Vladislav Goldin	C	11.76	2.95	3.53	26.5	30.0	-
Hugo González	SF	10.91	-	3.27	-	-	-
PJ Haggerty	SG	11.76	3.11	3.23	27.5	32.0	-
Dylan Harper	PG-SG	11.07	3.05	3.16	30.5	36.5	-
Ben Henshall	SG	10.49	3.00	3.07	30.0	36.5	-
Kasparas Jakucionis	PG-SG	10.99	2.82	3.22	28.5	35.0	-
Sion James	SG	10.91	2.93	2.97	32.0	39.5	-
Tre Johnson	PG-SG	10.49	3.11	3.28	32.0	37.5	-
Kam Jones	PG	11.42	3.11	3.27	24.5	31.5	-
Ryan Kalkbrenner	C	12.05	3.10	3.34	29.0	33.0	-
Karter Knox	SF	10.92	2.96	3.20	32.0	39.5	-
Kon Knueppel	PG-SG	11.92	2.92	3.35	31.5	36.5	-
Chaz Lanier	PG-SG	10.53	2.96	3.12	33.0	39.0	-
Yaxel Lendeborg	PF	11.68	3.09	3.32	25.5	31.5	-
RJ Luis Jr.	SF	11.24	2.98	3.13	31.5	38.0	-
Khaman Maluach	C	12.05	3.44	3.50	24.0	30.0	-
Bogoljub Markovic	PF	11.40	2.96	3.43	24.0	27.5	-
Alijah Martin	SG	11.06	3.05	3.11	29.5	38.0	-
Liam McNeeley	SF-PF	11.11	2.75	3.16	30.5	36.5	-
Mackenzie Mgbako	SF-PF	11.99	2.94	3.39	27.5	33.0	-
Jalon Moore	SF	11.68	3.10	3.00	32.5	39.0	-
Collin Murray-Boyles	SF-PF	11.21	2.86	3.15	29.5	34.5	-
Grant Nelson	PF	10.51	2.58	3.23	27.0	30.0	-
Ryan Nembhard	PG	11.50	2.88	3.22	26.5	32.5	-
Asa Newell	SF-PF	10.95	2.78	3.26	29.5	36.5	-
Yanic Konan Niederhauser	C	11.45	2.84	3.20	33.5	37.0	-
Lachlan Olbrich	PF	11.90	3.00	3.45	23.5	31.0	-
Otega Oweh	SG	10.92	2.88	3.19	27.5	35.0	-
Dink Pate	SG	10.63	2.97	3.29	24.5	32.5	-
Micah Peavy	SF	10.90	3.06	3.13	30.5	35.5	-
Noah Penda	PF	11.70	3.13	3.34	25.0	31.0	-
Tahaad Pettiford	PG	10.63	2.96	3.23	31.0	42.0	-
Labaron Philon	PG-SG	11.46	3.14	3.16	28.5	32.5	-
Drake Powell	SF-PF	10.71	2.79	3.07	37.5	43.0	-
Tyrese Proctor	PG-SG	10.75	3.00	3.19	30.5	36.5	-
Derik Queen	C	12.45	3.27	3.52	23.5	28.0	-
Maxime Raynaud	C	11.31	3.16	3.23	28.0	31.5	-
Jase Richardson	PG-SG	10.97	3.08	3.22	30.5	38.0	-
Will Riley	SF-PF	11.73	3.08	3.21	27.5	32.0	-
Michael Ruzic	PF	11.40	2.98	3.11	29.5	32.5	-
Hunter Sallis	SG	10.99	2.94	3.22	31.0	37.5	-
Kobe Sanders	SF	10.95	3.00	3.19	30.0	36.0	-
Ben Saraf	PG	11.10	-	3.20	-	-	-
Mark Sears	PG	10.96	3.25	3.28	31.0	37.5	-
Max Shulga	SG	11.35	3.06	3.21	29.5	34.5	-
Javon Small	PG	10.74	2.87	3.07	33.0	40.5	-
Thomas Sorber	C	-	-	-	-	-	-
Adou Thiero	PG-SG	-	-	-	-	-	-
John Tonje	SG	11.14	3.21	3.20	30.0	37.0	-
Alex Toohey	SF	11.38	2.90	3.20	26.5	31.5	-
Nolan Traoré	PG	10.75	2.85	3.26	28.0	34.0	-
Milos Uzan	PG	10.86	2.94	3.17	26.5	35.0	-
Jamir Watkins	SF	11.19	3.21	3.14	31.5	37.0	-
Brice Williams	SG	11.19	2.98	3.20	27.5	32.5	-
Darrion Williams	SF	11.73	3.01	3.34	24.0	30.0	-
Danny Wolf	SF-PF	11.26	2.91	3.51	24.0	30.0	-
Hansen Yang	C	11.79	3.01	3.38	26.0	30.0	-
Rocco Zikarsky	C	11.92	3.00	3.48	27.5	31.5	-
