PLAYER	POS	Lane Agility Time (seconds)	Shuttle Run (seconds)	Three Quarter Sprint (seconds)	Standing Vertical Leap (inches)	Max Vertical Leap (inches)	Max Bench Press (repetitions)
Matthew Able	SG	11.08	2.86	3.29	27.5	34.0	-
Darius Acuff Jr.	PG	10.99	2.93	3.06	31.5	36.5	-
Amari Allen	SF	10.72	2.94	3.19	34.5	42.5	-
Nathaniel Ament	PF	11.27	2.85	3.26	31.0	37.0	-
Christian Anderson	PG	10.85	2.85	3.18	31.0	40.5	-
Tobe Awaka	C	10.94	3.02	3.19	32.5	37.5	-
Flory Bidunga	C	11.24	2.78	3.19	34.0	40.5	-
Tyler Bilodeau	PF	-	-	-	-	-	-
John Blackwell	SG	11.23	3.08	3.17	28.0	35.5	-
Cameron Boozer	PF	11.06	2.99	3.31	28.5	35.0	-
Kylan Boswell	PG	10.82	2.92	3.22	33.0	38.0	-
Nicholas Boyd	PG	10.78	3.06	3.07	30.5	36.0	-
Jaden Bradley	PG	10.75	3.13	3.20	30.5	36.0	-
Trevon Brazile	PF	10.84	2.71	3.14	36.0	41.5	-
Maliq Brown	C	11.22	3.05	3.07	29.5	34.0	-
Christopher Brown Jr	PG	10.57	2.89	3.24	33.5	39.5	-
Brayden Burries	SG	10.59	2.92	3.21	35.0	38.5	-
Cameron Carr	SG	10.46	2.80	3.17	38.0	42.5	-
Rafael Castro	C	11.42	2.93	3.20	31.0	36.5	-
Christopher Cenac Jr.	PF	10.76	2.84	3.27	33.0	37.0	-
Rueben Chinyelu	C	11.21	2.85	3.25	30.5	33.0	-
Jacob Cofie	PF	11.30	2.92	3.07	29.5	36.0	-
Ryan Conwell	SG	10.69	2.86	3.21	32.5	39.5	-
Sergio De Larrea	PG	-	-	-	-	-	-
Anicet Dybantsa	SF	11.06	2.99	3.14	33.5	42.0	-
Zuby Ejiofor	C	11.05	2.76	3.20	34.0	38.0	-
Isaiah Evans	SG	11.87	2.89	3.18	27.0	35.5	-
Jeremy Fears Jr.	PG	10.62	3.10	3.11	32.0	39.0	-
Kingston Flemings	PG	10.61	2.69	3.07	33.5	40.5	-
Ja'Kobi Gillespie	PG	10.94	2.91	3.12	31.5	39.5	-
Allen Graves	PF	11.76	3.18	3.44	27.5	34.0	-
Keyshawn Hall	SF	11.15	3.10	3.25	30.0	34.0	-
Jaden Harris	SF	-	-	-	-	-	-
Bryce Hopkins	PF	10.71	2.95	3.26	30.0	37.5	-
Joshua Jefferson	PF	11.91	3.08	3.42	27.0	33.0	-
Morez Johnson	PF	10.59	2.91	3.17	33.5	39.0	-
Alex Karaban	PF	11.19	3.01	3.28	28.0	33.0	-
Trey Kaufman-Renn	PF	11.06	3.01	3.37	29.0	33.0	-
Jack Kayil	PG	-	-	-	-	-	-
Tobi Lawal	PF	11.15	3.08	3.16	40.0	45.5	-
Yaxel Lendeborg	PF	10.82	2.80	3.35	25.5	32.0	-
Karim Lopez	PF	11.14	2.88	3.32	32.0	38.0	-
Aday Mara	C	11.47	3.36	3.61	24.0	28.0	-
Nick Martinelli	PF	11.01	2.88	3.48	26.5	33.0	-
Baba Miller	PF	10.71	2.70	3.23	31.5	34.5	-
Dillon Mitchell	PF	10.94	2.89	3.19	32.5	38.5	-
Milan Momcilovic	PF	11.22	2.95	3.47	27.5	32.0	-
Malachi Moreno	C	11.62	3.11	3.52	25.5	29.0	-
Izaiyah Nelson	C	11.22	2.90	3.20	32.5	38.5	-
Tyler Nickel	SF	10.88	2.85	3.35	26.0	34.0	-
Aaron Nkrumah	SG	11.18	2.48	3.24	28.5	35.0	-
Ebuka Okorie	PG	10.71	2.96	3.26	31.5	37.5	-
Felix Okpara	C	11.01	2.99	3.18	29.5	34.5	-
Ugonna Onyenso	C	11.56	3.16	3.25	27.0	32.0	-
Otega Oweh	SG	11.20	2.86	3.17	31.0	37.0	-
Koa Peat	PF	11.00	3.39	3.16	34.5	37.5	-
Darryn Peterson	SG	11.17	2.95	3.16	31.5	37.5	-
Labaron Philon	PG	11.55	3.13	3.09	30.5	35.0	-
Jayden Quaintance	C	-	-	-	-	-	-
Tarris Reed Jr.	C	11.03	2.77	3.30	29.5	33.0	-
Billy Richmond III	SF	10.23	2.82	3.06	32.5	41.0	-
Richie Saunders	SG	-	-	-	-	-	-
Emanuel Sharp	SG	10.77	2.80	3.19	27.5	33.0	-
Braden Smith	PG	10.76	2.87	3.23	31.0	38.5	-
Hannes Steinbach	C	10.90	2.89	3.38	30.0	35.5	-
Bennett Stirtz	PG	11.25	2.91	3.17	30.5	37.5	-
Andrej Stojakovic	SF	10.97	2.89	3.32	32.0	41.5	-
Peter Suder	SG	11.23	3.14	3.20	28.5	30.5	-
Luigi Suigo	C	-	-	-	-	-	-
Dailyn Swain	SF	11.25	3.08	3.21	28.0	36.5	-
Tyler Tanner	PG	10.88	2.92	3.23	32.0	39.0	-
Meleek Thomas	SG	11.57	2.97	3.22	31.5	38.0	-
Bruce Thornton	PG	11.55	3.01	3.25	29.5	35.5	-
Milos Uzan	PG	10.70	2.87	3.21	28.0	35.0	-
Henri Veesaar	C	11.20	2.92	3.42	28.0	32.5	-
Keaton Wagler	PG	11.05	3.00	3.27	33.0	36.0	-
Caleb Wilson	PF	11.17	3.11	3.23	34.5	39.5	-
Tounde Yessoufou	SG	11.09	2.75	3.17	34.0	38.0	-
