PLAYER	POS	Lane Agility Time (seconds)	Shuttle Run (seconds)	Three Quarter Sprint (seconds)	Standing Vertical Leap (inches)	Max Vertical Leap (inches)	Max Bench Press (repetitions)
Trey Alexander	SG	11.60	-	3.35	29.5	34.0	-
Amari Bailey	SG	11.34	-	3.19	28.5	35.0	-
Emoni Bates	SF	11.54	-	3.49	27.0	32.5	-
Reece Beekman	PG	10.99	3.33	3.14	30.5	38.0	-
Anthony Black	PG	11.04	-	3.35	32.0	39.0	-
Adem Bona	C	-	-	-	-	-	-
Kobe Brown	PF	11.39	3.23	3.33	28.5	32.0	-
Kobe Bufkin	SG	11.71	-	3.26	29.0	36.0	-
Toumani Camara	PF	10.70	3.19	3.41	28.5	33.0	-
Sidy Cissoko	SF	11.24	-	3.31	30.5	35.5	-
Jaylen Clark	SG	-	-	-	-	-	-
Noah Clowney	PF	-	-	-	-	-	-
Bilal Coulibaly	SG-SF	-	-	-	-	-	-
Ricky Council IV	SF	11.20	3.21	3.33	30.5	37.0	-
Gradey Dick	SG	11.13	2.98	3.50	29.0	34.0	-
Nikola Djurisic	SF	-	-	-	-	-	-
Zach Edey	C	11.37	-	3.45	26.0	29.5	-
Adam Flagler	PG	10.96	-	3.24	31.0	36.0	-
Keyonte George	SG	-	-	-	-	-	-
Mouhamed Gueye	C	-	-	-	-	-	-
Jordan Hawkins	SG	-	-	-	-	-	-
Coleman Hawkins	PF	12.14	-	3.37	26.5	32.5	-
Scoot Henderson	PG	-	-	-	-	-	-
Taylor Hendricks	PF	11.27	-	3.32	32.5	36.0	-
DaRon Holmes II	C	11.48	-	3.20	29.5	35.0	-
Jalen Hood-Schifino	PG	-	-	-	-	-	-
Jett Howard	SF	-	-	-	-	-	-
GG Jackson	PF	11.39	-	3.21	31.0	37.0	-
Andre Jackson Jr.	SF	10.83	-	3.14	30.5	39.5	-
Trayce Jackson-Davis	C	11.80	3.23	3.20	33.0	36.5	-
Jaime Jaquez Jr.	SF	11.21	-	3.33	34.5	39.0	-
Keyontae Johnson	SF	-	-	-	-	-	-
Colby Jones	SG	11.14	3.13	3.33	30.5	35.0	-
Ryan Kalkbrenner	C	12.27	-	3.39	28.0	30.5	-
Arthur Kaluma	PF	11.35	3.26	3.44	32.5	34.5	-
Mojave King	SG	11.07	-	3.18	33.5	42.0	-
Bobi Klintman	PF	-	-	-	-	-	-
Maxwell Lewis	SG	11.40	-	3.43	32.5	36.5	-
Dereck Lively Jr.	C	-	-	-	-	-	-
Chris Livingston	SF	11.65	-	3.27	30.5	37.0	-
Seth Lundy	SF	11.02	-	3.15	31.5	35.5	-
Kevin McCullar	SF	-	-	-	-	-	-
Mike Miles Jr.	PG	11.01	3.24	3.11	33.0	37.0	-
Leonard Miller	PF	11.00	-	3.33	32.0	37.5	-
Brandon Miller	SF	-	-	-	-	-	-
Jordan Miller	SF	11.43	3.21	3.17	32.0	36.5	-
Judah Mintz	PG	10.32	3.13	3.24	28.5	37.0	-
Dillon Mitchell	PF	10.92	-	3.32	29.0	37.0	-
Omari Moore	SG	10.80	-	3.22	29.0	35.5	-
Kris Murray	PF	11.11	-	3.30	29.5	35.0	-
Grant Nelson	PF	9.99	-	3.21	32.0	35.5	-
James Nnaji	C	-	-	-	-	-	-
Julian Phillips	SF	11.09	-	3.32	36.0	43.0	-
Jalen Pickett	PG	11.91	3.41	3.35	28.5	33.0	-
Brandin Podziemski	SG	11.16	3.20	3.21	31.5	39.0	-
Olivier-Maxence Prosper	PF	10.59	3.00	3.21	35.0	40.5	-
Rayan Rupert	SF	11.18	-	3.43	27.5	32.5	-
Adama Sanogo	C	11.50	-	3.31	28.5	31.0	-
Marcus Sasser	PG	10.68	-	3.43	27.0	35.0	-
Brice Sensabaugh	SF	-	-	-	-	-	-
Terrence Shannon Jr.	SF	10.36	-	3.06	32.0	37.5	-
Ben Sheppard	SG	10.88	2.98	3.17	29.5	35.5	-
Jalen Slawson	PF	11.26	-	3.29	29.0	33.0	-
Terquavion Smith	SG	10.86	-	3.21	30.0	37.0	-
Nick Smith Jr.	SG	-	-	-	-	-	-
Julian Strawther	SF	10.94	3.46	3.31	27.5	34.5	-
Amen Thompson	SG	-	-	-	-	-	-
Ausar Thompson	SG	-	-	-	-	-	-
Drew Timme	C	10.93	-	3.34	26.0	30.5	-
Nae'Qwan Tomlin	PF	-	-	-	-	-	-
Oscar Tshiebwe	C	12.26	-	3.32	29.5	32.5	-
Azuolas Tubelis	PF	11.17	-	3.50	23.5	30.5	-
Tristan Vukcevic	C	11.71	3.16	3.43	26.0	30.5	-
Jarace Walker	PF	10.89	-	3.20	34.5	38.0	-
Cason Wallace	PG	10.82	-	3.34	28.0	36.0	-
Jordan Walsh	SF	10.83	-	3.30	33.0	36.0	-
Victor Wembanyama	C	-	-	-	-	-	-
Dariq Whitehead	SG	-	-	-	-	-	-
Cam Whitmore	SF	10.82	3.33	3.20	31.5	40.5	-
Jalen Wilson	SF	11.26	3.15	3.20	31.5	35.0	-
Isaiah Wong	SG	10.93	-	3.22	32.5	37.0	-
