PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Emanuel Sharp	SG	-%	8.00	8.25	6' 2.75''		8' 2.50''	208.4	6' 3.00''
Bennett Stirtz	PG	-%	8.50	9.75	6' 2.50''		8' 2.50''	186.2	6' 6.00''
John Blackwell	SG	-%	8.25	9.50	6' 3.25''		8' 2.00''	199.6	6' 2.25''
Ebuka Okorie	PG	-%	9.00	9.25	6' 1.25''		8' 2.00''	186.0	6' 7.75''
Milos Uzan	PG	-%	8.00	9.00	6' 3.00''		8' 2.00''	185.0	6' 5.00''
Jeremy Fears Jr.	PG	-%	8.00	9.00	6' 0.00''		8' 1.50''	196.2	6' 4.00''
Christian Anderson	PG	-%	8.50	8.25	6' 1.00''		8' 0.50''	180.4	6' 6.25''
Ryan Conwell	SG	-%	8.50	9.00	6' 2.00''		8' 0.50''	214.8	6' 7.00''
Bruce Thornton	PG	-%	8.50	9.00	6' 0.00''		8' 0.50''	223.0	6' 5.00''
Nicholas Boyd	PG	-%	8.00	8.25	6' 1.00''		8' 0.00''	176.2	6' 2.50''
Jaden Bradley	PG	-%	8.00	9.25	6' 2.50''		8' 0.00''	205.4	6' 6.25''
Ja'Kobi Gillespie	PG	-%	8.00	9.50	5' 11.75''		7' 11.50''	181.8	6' 4.00''
Kylan Boswell	PG	-%	8.00	8.50	6' 1.25''		7' 11.00''	226.0	6' 7.00''
Braden Smith	PG	-%	8.25	8.25	5' 10.25''		7' 9.50''	166.6	6' 3.25''
Tyler Tanner	PG	-%	8.25	10.00	5' 10.75''		7' 9.00''	166.8	6' 4.25''
Sergio De Larrea	PG	-%	-	-				-
Jaden Harris	SF	-%	-	-				-
Jack Kayil	PG	-%	-	-				-
