PLAYER	POS	BODY FAT %	HAND LENGTH (inches)	HAND WIDTH (inches)	HEIGHT W/O SHOES	HEIGHT W/ SHOES	STANDING REACH	WEIGHT (LBS)	WINGSPAN
Izan Almansa	C	-%	9.25	9.50	6' 9.25''		9' 1.50''	220.4	7' 1.75''
Neoklis Avdalas	SF	-%	8.25	9.75	6' 7.50''		8' 8.50''	197.8	6' 9.00''
Ace Bailey	SF-PF	-%	8.50	9.00	6' 7.50''		8' 11.00''	202.8	7' 0.50''
Tamar Bates	SG	-%	9.75	9.00	6' 3.75''		8' 7.00''	191.4	6' 10.25''
Joan Beringer	C	-%	9.75	10.00	6' 11.00''		9' 3.00''	234.8	7' 4.50''
Koby Brea	SG	-%	8.50	9.25	6' 5.75''		8' 5.50''	201.8	6' 5.25''
Johni Broome	SF-PF	-%	9.25	10.25	6' 9.25''		9' 0.50''	249.4	7' 0.25''
Carter Bryant	SF-PF	-%	8.50	9.50	6' 6.50''		8' 10.00''	214.8	6' 11.75''
Miles Byrd	SG	-%	8.75	9.25	6' 4.75''		8' 6.50''	181.8	6' 10.00''
Walter Clayton Jr.	PG-SG	-%	8.25	9.75	6' 2.00''		8' 1.50''	199.0	6' 4.00''
Nique Clifford	PG-SG	-%	8.25	8.50	6' 5.25''		8' 6.50''	202.0	6' 8.00''
Alex Condon	SF-PF	-%	9.25	9.75	6' 11.25''		8' 11.50''	221.8	7' 0.75''
Cedric Coward	PG-SG	-%	9.25	10.00	6' 5.25''		8' 10.00''	213.0	7' 2.25''
Egor Demin	PG-SG	-%	8.25	9.25	6' 8.25''		8' 9.50''	199.2	6' 10.25''
Eric Dixon	PF	-%	8.75	10.00	6' 7.50''		8' 8.00''	258.6	6' 11.50''
VJ Edgecombe	PG-SG	-%	8.50	9.50	6' 4.00''		8' 5.50''	193.2	6' 7.50''
Noa Essengue	PF	-%	8.97	10.62	6' 10.00''		9' 2.00''	204.0	7' 1.00''
Jeremiah Fears	PG-SG	-%	8.25	9.25	6' 2.50''		8' 2.50''	179.6	6' 5.25''
Cooper Flagg	SF-PF	-%	8.75	9.75	6' 7.75''		8' 10.50''	221.0	7' 0.00''
Boogie Fland	PG	-%	8.50	9.00	6' 2.00''		8' 2.00''	172.4	6' 6.00''
Rasheer Fleming	SF-PF	-%	9.50	9.50	6' 8.25''		9' 1.00''	232.4	7' 5.25''
Vladislav Goldin	C	-%	9.50	11.75	7' 0.00''		9' 3.00''	253.4	7' 5.25''
Hugo González	SF	-%	10.25	9.00	6' 6.25''		8' 5.50''	222.7	6' 10.75''
PJ Haggerty	SG	-%	8.50	9.50	6' 2.25''		8' 1.50''	189.4	6' 6.50''
Dylan Harper	PG-SG	-%	9.25	9.25	6' 4.50''		8' 6.00''	213.2	6' 10.50''
Ben Henshall	SG	-%	8.00	8.00	6' 5.50''		8' 3.50''	193.4	6' 6.50''
Kasparas Jakucionis	PG-SG	-%	8.50	9.75	6' 4.75''		8' 3.50''	205.2	6' 7.75''
Sion James	SG	-%	8.25	9.25	6' 4.50''		8' 4.00''	217.6	6' 6.50''
Tre Johnson	PG-SG	-%	8.50	8.00	6' 4.75''		8' 5.00''	190.4	6' 10.25''
Kam Jones	PG	-%	8.25	8.50	6' 3.25''		8' 4.50''	202.4	6' 6.00''
Ryan Kalkbrenner	C	-%	9.25	11.25	7' 1.00''		9' 4.00''	257.4	7' 6.00''
Karter Knox	SF	-%	9.00	9.50	6' 5.00''		8' 6.50''	214.2	6' 10.25''
Kon Knueppel	PG-SG	-%	8.50	9.75	6' 5.00''		8' 5.50''	219.0	6' 6.25''
Chaz Lanier	PG-SG	-%	8.50	9.75	6' 3.75''		8' 5.50''	205.8	6' 9.00''
Yaxel Lendeborg	PF	-%	9.25	10.00	6' 8.50''		9' 0.50''	234.6	7' 4.00''
RJ Luis Jr.	SF	-%	9.00	10.00	6' 5.75''		8' 7.50''	210.0	6' 10.50''
Khaman Maluach	C	-%	9.75	10.25	7' 0.75''		9' 6.00''	252.8	7' 6.75''
Bogoljub Markovic	PF	-%	8.25	9.75	6' 10.50''		9' 2.00''	213.2	6' 11.50''
Alijah Martin	SG	-%	8.25	9.25	6' 1.50''		8' 3.50''	208.4	6' 7.50''
Liam McNeeley	SF-PF	-%	8.75	10.00	6' 6.75''		8' 3.50''	214.6	6' 8.50''
Mackenzie Mgbako	SF-PF	-%	9.00	9.25	6' 7.50''		8' 7.00''	216.4	6' 10.25''
Jalon Moore	SF	-%	9.00	9.50	6' 6.25''		8' 8.50''	203.4	6' 10.25''
Collin Murray-Boyles	SF-PF	-%	8.50	10.25	6' 6.50''		8' 10.00''	239.2	7' 0.75''
Grant Nelson	PF	-%	9.00	9.75	6' 10.00''		9' 1.00''	229.8	7' 0.00''
Ryan Nembhard	PG	-%	9.50	8.25	5' 11.00''		7' 10.00''	175.8	6' 2.25''
Asa Newell	SF-PF	-%	9.25	10.00	6' 9.00''		8' 11.50''	223.8	6' 11.25''
Yanic Konan Niederhauser	C	-%	9.50	9.00	6' 11.25''		9' 3.00''	242.6	7' 3.25''
Lachlan Olbrich	PF	-%	10.00	9.00	6' 8.75''		8' 11.50''	230.2	6' 11.25''
Otega Oweh	SG	-%	8.50	9.50	6' 4.25''		8' 5.50''	212.6	6' 8.50''
Dink Pate	SG	-%	8.50	9.00	6' 6.25''		8' 8.00''	200.8	6' 9.75''
Micah Peavy	SF	-%	8.50	8.75	6' 6.25''		8' 5.00''	211.6	6' 7.25''
Noah Penda	PF	-%	8.25	9.75	6' 7.25''		8' 10.50''	241.8	6' 11.50''
Tahaad Pettiford	PG	-%	8.25	8.50	6' 0.25''		8' 0.00''	168.8	6' 5.50''
Labaron Philon	PG-SG	-%	8.50	9.00	6' 2.75''		8' 3.50''	174.6	6' 6.25''
Drake Powell	SF-PF	-%	8.75	10.00	6' 5.25''		8' 7.00''	200.4	7' 0.00''
Tyrese Proctor	PG-SG	-%	8.25	9.00	6' 4.25''		8' 4.50''	183.2	6' 7.25''
Derik Queen	C	-%	9.00	9.50	6' 9.25''		9' 1.50''	247.8	7' 0.50''
Maxime Raynaud	C	-%	9.00	10.25	7' 0.25''		9' 2.00''	236.8	7' 1.25''
Jase Richardson	PG-SG	-%	8.50	9.50	6' 0.50''		8' 2.50''	178.4	6' 6.00''
Will Riley	SF-PF	-%	8.50	9.00	6' 8.25''		8' 8.00''	185.6	6' 8.75''
Michael Ruzic	PF	-%	9.00	9.25	6' 11.00''		9' 0.00''	221.4	7' 0.75''
Hunter Sallis	SG	-%	8.50	9.75	6' 3.75''		8' 4.00''	181.4	6' 10.00''
Kobe Sanders	SF	-%	8.50	9.25	6' 7.00''		8' 7.00''	203.2	6' 8.25''
Ben Saraf	PG	-%	9.44	8.07	6' 6.00''		8' 4.00''	199.0	6' 8.70''
Mark Sears	PG	-%	8.00	8.75	5' 10.75''		7' 8.50''	183.4	6' 2.00''
Max Shulga	SG	-%	8.00	9.75	6' 4.25''		8' 3.00''	206.4	6' 5.75''
Javon Small	PG	-%	8.25	9.75	6' 1.00''		8' 0.00''	190.0	6' 4.75''
Thomas Sorber	C	-%	8.50	9.00	6' 9.25''		9' 1.00''	262.8	7' 6.00''
Adou Thiero	PG-SG	-%	9.00	10.25	6' 6.25''		8' 8.50''	218.4	7' 0.00''
John Tonje	SG	-%	9.00	9.50	6' 4.75''		8' 6.50''	211.8	6' 9.00''
