PLAYER	POS	Lane Agility Time (seconds)	Shuttle Run (seconds)	Three Quarter Sprint (seconds)	Standing Vertical Leap (inches)	Max Vertical Leap (inches)	Max Bench Press (repetitions)
Max Abmas	PG	10.90	3.49	3.12	28.5	32.5	-
Ochai Agbaji	SG	10.88	3.10	3.13	32.0	41.5	-
Marcus Bagley	SF	12.26	3.10	3.17	32.5	38.5	-
Scottie Barnes	SF	10.88	2.99	3.15	36.0	39.5	-
Charles Bassey	C	12.19	3.33	3.13	33.0	36.0	-
Greg Brown III	PF	10.98	2.98	3.19	33.5	39.0	-
Justin Champagnie	PF	11.94	3.14	3.34	27.0	35.0	-
Julian Champagnie	SF	12.38	3.20	3.20	26.0	32.0	-
Josh Christopher	SG	11.32	3.30	3.14	29.5	37.5	-
Ayo Dosunmu	SG	11.51	3.27	3.23	27.0	33.5	-
David Duke Jr.	SG	11.21	3.19	3.08	30.0	39.0	-
Kessler Edwards	PF	11.30	3.38	3.25	28.0	37.0	-
Luka Garza	C	11.90	3.38	3.51	24.0	29.5	-
RaiQuan Gray	PF	11.69	3.30	3.25	26.5	31.5	-
Quentin Grimes	SG	11.09	3.33	3.07	30.5	38.5	-
Sam Hauser	SF	11.14	3.07	3.34	28.5	34.5	-
Aaron Henry	SF	11.68	3.18	3.07	29.0	35.0	-
Ariel Hukporti	C	12.20	3.53	3.12	24.5	31.0	-
Matt Hurt	PF	11.44	3.25	3.34	25.5	32.5	-
Nah'Shon Hyland	SG	10.53	3.17	3.10	26.5	34.0	-
David Johnson	SG	12.02	3.20	3.03	33.0	39.0	-
Keon Johnson	SG	11.45	3.20	3.00	41.5	48.0	-
Herbert Jones	SF	11.02	3.17	3.25	28.5	36.5	-
Carlik Jones	PG	10.96	3.23	3.16	31.5	36.0	-
Johnny Juzang	SG	11.13	3.08	3.13	31.0	36.5	-
Corey Kispert	SF	10.91	2.99	3.12	30.0	37.5	-
AJ Lawson	SG-SF	11.00	3.01	2.98	33.0	41.0	-
Scottie Lewis	SF	10.45	3.03	2.98	34.0	42.0	-
Makur Maker	C	11.87	3.28	3.34	25.5	31.0	-
Sandro Mamukelashvili	C	11.63	3.30	3.21	30.5	36.5	-
Miles McBride	PG	11.08	3.13	3.10	31.0	38.5	-
Isaiah Mobley	PF	12.70	3.50	3.30	26.5	32.0	-
Trey Murphy III	SF	11.65	3.32	3.14	34.0	38.0	-
Daishen Nix	PG	11.72	3.18	3.00	29.5	36.5	-
John Petty Jr.	SG	11.51	3.17	3.35	27.5	34.0	-
Yves Pons	PF	10.89	3.05	3.10	36.0	42.5	-
Jason Preston	PG	10.82	3.08	3.13	30.5	38.5	-
Joshua Primo	SG	10.97	3.36	3.22	30.5	37.5	-
Neemias Queta	C	11.85	3.50	3.29	27.0	33.0	-
Austin Reaves	SG	10.94	3.19	3.07	25.0	35.0	-
Jeremiah Robinson-Earl	PF	11.64	3.15	3.29	27.0	32.0	-
Terrence Shannon Jr.	SF	11.51	3.12	3.21	32.5	39.5	-
Jericho Sims	C	11.59	3.38	3.05	37.0	44.5	-
Jaden Springer	SG	11.46	3.10	3.13	34.5	41.5	-
DJ Steward	PG	11.14	3.10	3.08	34.5	38.5	-
JT Thor	PF	12.19	3.08	3.06	31.5	35.0	-
Isaiah Todd	PF	11.38	3.25	3.31	28.5	35.5	-
Duane Washington Jr.	SG	11.50	3.06	3.17	29.5	35.5	-
Trendon Watford	PF	11.69	3.23	3.27	28.0	35.0	-
Joe Wieskamp	SF	10.70	3.18	3.04	30.0	42.0	-
Aaron Wiggins	SG-SF	11.20	3.00	3.04	29.5	36.0	-
Ziaire Williams	SF	10.69	3.04	3.12	34.0	39.5	-
Moses Wright	PF	11.20	3.42	3.15	31.5	38.0	-
McKinley Wright IV	PG	10.76	3.12	3.08	31.5	38.0	-
Marcus Zegarowski	PG	11.47	3.26	3.11	30.0	35.5	-
