rank	name	position	college
1	James Wiseman	C	Memphis
2	Anthony Edwards	SG	Georgia
3	Isaiah Stewart	C	Washington
4	Cole Anthony	CG	North Carolina
5	RJ Hampton	CG	Pro
6	Vernon Carey	C	Duke
7	Scottie Lewis	SF	Florida
8	Jaden McDaniels	PF	Washington
9	Nico Mannion	PG	Arizona
10	Tyrese Maxey	CG	Kentucky
11	Kahlil Whitney	SF	Kentucky
12	Matthew Hurt	PF	Duke
13	Josh Green	SF	Arizona
14	N'Faly Dante	C	Oregon
15	Precious Achiuwa	SF	Memphis
16	Jeremiah Robinson-Earl	PF	Villanova
17	Bryan Antoine	SG	Villanova
18	Trendon Watford	PF	LSU
19	Samuell Williamson	SF	Louisville
20	Isaiah Mobley	PF	USC
21	Tre Mann	PG	Florida
22	Josiah-Jordan James	CG	Tennessee
23	LaMelo Ball	PG	Pro
24	Keion Brooks	SF	Kentucky
25	Onyeka Okongwu	C	USC
26	Patrick Williams	SF	Florida State
27	Armando Bacot	C	North Carolina
28	C.J. Walker	PF	Oregon
29	Wendell Moore	SF	Duke
30	Trayce Jackson-Davis	C	Indiana
31	Oscar Tshiebwe	C	West Virginia
32	Jahmi'us Ramsey	CG	Texas Tech
33	Johnny Juzang	SF	Kentucky
34	DJ Carton	PG	Ohio State
35	Will Baker	C	Texas
36	Isaac Okoro	SF	Auburn
37	Cassius Stanley	SG	Duke
38	Boogie Ellis	CG	Memphis
39	Rocket Watts	CG	Michigan State
40	Zeke Nnaji	PF	Arizona
41	Jalen Lecque	CG	NC State
42	Addison Patterson	SG	Oregon
43	Drew Timme	C	Gonzaga
44	EJ Liddell	PF	Ohio State
45	Omar Payne	C	Florida
46	Kofi Cockburn	C	Illinois
47	De'Vion Harmon	PG	Oklahoma
48	Anton Watson	SF	Gonzaga
49	Zach Harvey	SG	Cincinnati
50	Alonzo Gaffney	SF	Ohio State
