rank	name	position	college
1	RJ Barrett	SG	Duke
2	Cam Reddish	SF	Duke
3	Nassir Little	SF	North Carolina
4	Bol Bol	C	Oregon
5	Zion Williamson	PF	Duke
6	Charles Bassey	C	Western Kentucky
7	Romeo Langford	SG	Indiana
8	Anfernee Simons	CG	Pro
9	EJ Montgomery	PF	Kentucky
10	Quentin Grimes	CG	Kansas
11	Simisola Shittu	PF	Vanderbilt
12	Ashton Hagans	PG	Kentucky
13	Keldon Johnson	SF	Kentucky
14	Darius Garland	PG	Vanderbilt
15	Tre Jones	PG	Duke
16	Jalen Smith	C	Maryland
17	Darius Bazley	SF	Pro
18	Naz Reid	PF	LSU
19	Jordan Brown	PF	Nevada
20	Louis King	SF	Oregon
21	Devon Dotson	PG	Kansas
22	Immanuel Quickley	PG	Kentucky
23	Andrew Nembhard	PG	Florida
24	Jaylen Hoard	SF	Wake Forest
25	Coby White	SG	North Carolina
26	Emmitt Williams	PF	LSU
27	Moses Brown	C	UCLA
28	Kevin Porter Jr.	SG	USC
29	Jahvon Quinerly	PG	Villanova
30	Luguentz Dort	SG	Arizona State
31	Reggie Perry	PF	Mississippi State
32	Ayo Dosunmu	CG	Illinois
33	Joey Baker	SF	Duke
34	Brandon Williams	PG	Arizona
35	Javonte Smart	CG	LSU
36	David McCormack	C	Kansas
37	Tyler Herro	SG	Kentucky
38	Taeshon Cherry	SF	Arizona State
39	Kira Lewis	PG	Alabama
40	Ignas Brazdeikis	SF	Michigan
41	Shareef O'Neal	PF	UCLA
42	Aaron Wiggins	SG	Maryland
43	Courtney Ramey	PG	Texas
44	Cole Swider	PF	Villanova
45	Elijah Weaver	CG	USC
46	Will Richardson	SG	Oregon
47	David Duke	CG	Providence
48	A.J. Reeves	SG	Providence
49	Gerald Liddell	SF	Texas
50	Daniel Oturu	C	Minnesota
