rank	name	position	college
1	Cade Cunningham	PG	Oklahoma State
2	Jalen Green	CG	Pro
3	Evan Mobley	C	USC
4	Jonathan Kuminga	SF	Pro
5	Brandon Boston Jr.	SG	Kentucky
6	Ziaire Williams	SF	Stanford
7	Scottie Barnes	PF	Florida State
8	Terrence Clarke	SG	Kentucky
9	Moussa Cisse	C	Memphis
9	Greg Brown III	PF	Texas
11	Jalen Suggs	CG	Gonzaga
12	Josh Christopher	SG	Arizona State
13	Jalen Johnson	SF	Duke
14	Caleb Love	PG	North Carolina
15	Day'Ron Sharpe	C	North Carolina
16	Jaden Springer	CG	Tennessee
17	Daishen Nix	PG	Pro
18	Makur Maker	C	Howard
19	Keon Johnson	SG	Tennessee
20	Isaiah Todd	PF	Pro
21	Bryce Thompson	CG	Kansas
22	Walker Kessler	C	North Carolina
23	Jeremy Roach	PG	Duke
24	Sharife Cooper	PG	Auburn
25	Cameron Thomas	SG	LSU
26	DJ Steward	CG	Duke
27	Khristian Lander	PG	Indiana
28	Mark Williams	C	Duke
29	Marcus Bagley	SF	Arizona State
30	Isaiah Jackson	C	Kentucky
31	Josh Hall	SF	Pro
32	Devin Askew	PG	Kentucky
33	Adam Miller	SG	Illinois
34	Nimari Burnett	CG	Texas Tech
35	Earl Timberlake	SG	Miami
36	Franck Kepnang	C	Oregon
37	Dawson Garcia	PF	Marquette
38	Jabri Abdur-Rahim	SF	Virginia
39	Lance Ware	PF	Kentucky
40	Matthew Murrell	SG	Ole Miss
41	Mady Sissoko	C	Michigan State
42	Jaemyn Brakefield	PF	Duke
43	Hunter Dickinson	C	Michigan
44	Trey Patterson	PF	Villanova
45	Micah Peavy	SF	Texas Tech
46	Moses Moody	SG	Arkansas
47	Andre Curbelo	PG	Illinois
48	Samson Ruzhentsev	SF	Florida
49	Mac Etienne	C	UCLA
50	R.J. Davis	CG	North Carolina
