rank	name	position	college
1	Marvin Bagley	PF	Duke
2	Michael Porter	SF	Missouri
3	Deandre Ayton	PF	Arizona
4	Mohamed Bamba	PF	Texas
5	Wendell Carter	PF	Duke
6	Collin Sexton	PG	Alabama
7	Trevon Duval	PG	Duke
8	Jaren Jackson	PF	Michigan State
9	Mitchell Robinson	C	Western Kentucky
10	Hamidou Diallo	SG	Kentucky
11	Kevin Knox	SF	Kentucky
12	Jarred Vanderbilt	SF	Kentucky
13	Troy Brown	SF	Oregon
14	Brandon McCoy	PF	UNLV
15	PJ Washington	PF	Kentucky
16	Lonnie Walker	SG	Miami
17	Nick Richards	C	Kentucky
18	Brian Bowen	SF	Louisville
19	Gary Trent Jr.	SG	Duke
20	Billy Preston	PF	Kansas
21	Kris Wilkes	SF	UCLA
22	Emmanuel Akot	SF	Arizona
23	Silvio De Sousa	PF	Kansas
24	Trae Young	PG	Oklahoma
25	Jaylen Hands	PG	UCLA
26	Quade Green	PG	Kentucky
27	Malik Williams	C	Louisville
28	Jontay Porter	PF	Missouri
29	Nick Weatherspoon	PG	Mississippi State
30	M.J. Walker	SG	Florida State
31	Jalek Felton	CG	North Carolina
32	Paul Scruggs	PG	Xavier
33	Shai Gilgeous-Alexander	CG	Kentucky
34	Lindell Wigginton	PG	Iowa State
35	Daniel Gafford	PF	Arkansas
36	John Petty	SG	Alabama
37	Brandon Randolph	SG	Arizona
38	Chaundee Brown	SG	Wake Forest
39	KZ Okpala	SF	Stanford
40	Makai Ashton-Langford	PG	Providence
41	Jeremiah Tilmon	PF	Missouri
42	Ethan Thompson	SG	Oregon State
43	Tremont Waters	PG	LSU
44	Nickeil Alexander-Walker	SG	Virginia Tech
45	Cody Riley	PF	UCLA
46	Jermaine Samuels	SF	Villanova
47	Chuma Okeke	SF	Auburn
48	DJ Harvey	SF	Notre Dame
49	Daejon Davis	CG	Stanford
50	Charles O'Bannon Jr.	SG	USC
